reference,edition_id,sender_id,sender,receiver_id,receiver,date,place_id,place
https://edition-humboldt.de/H0016723,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1847-05-30,http://sws.geonames.org/2852458,Potsdam
https://edition-humboldt.de/H0016575,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1847-06-13,http://sws.geonames.org/2852458,Potsdam
https://edition-humboldt.de/H0016536,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1847-08-06,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0019588,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118759078,Moritz Richard Schomburgk,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1847-09-09,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0020381,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118774891,Joseph Dalton Hooker,1847-09-30,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0020383,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118774891,Joseph Dalton Hooker,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1847-12-04,http://sws.geonames.org/361058,Alexandria
https://edition-humboldt.de/H0016586,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1848-01-27,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016587,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1848-01-27,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016491,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1848-02-02,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016581,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1848-03-03,http://sws.geonames.org/2950159,
